Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr),Pct
2009-09-10,7862.05,7944.65,7794.4,7828.3,24318029,1586.21,-0.4311280865577456
2009-09-11,7928.0,7931.9,7803.15,7914.95,22818278,1438.47,-0.16487785772494054
2009-09-14,7879.45,8005.05,7877.95,7985.6,21769357,1318.24,1.329267681827296
2009-09-15,8000.4,8225.3,8000.4,8210.7,50797722,2212.35,2.5612919726698222
2009-09-16,8290.45,8374.85,8273.75,8362.8,35440273,1919.05,0.8651408619122608
2009-09-17,8446.1,8495.95,8398.7,8433.35,44043581,2334.3,-0.1511854719654704
2009-09-18,8434.7,8434.7,8292.15,8379.25,29677141,2121.45,-0.6617537369096366
2009-09-22,8377.8,8465.35,8369.15,8452.0,17153920,1138.71,0.8778987221959386
2009-09-23,8478.25,8534.65,8406.15,8423.7,22156221,1483.4,-0.6475776677706859
2009-09-24,8355.7,8584.2,8341.1,8545.0,34214133,2128.69,2.215330602691624
2009-09-25,8485.15,8548.85,8436.95,8456.25,40475396,1301.27,-0.3417590539541716
2009-09-29,8490.4,8567.05,8465.9,8487.7,29536191,1450.41,-0.031810737891288667
2009-09-30,8513.05,8832.25,8487.6,8812.35,45450529,2986.68,3.396369867288533
2009-10-01,8835.3,8911.75,8787.0,8861.05,29620639,2406.27,0.290597615406752
2009-10-05,8765.9,8789.2,8631.95,8661.7,29199266,1961.54,-1.2029971021854706
2009-10-06,8709.65,8820.0,8555.0,8808.4,27069555,1979.95,1.1210889605376686
2009-10-07,8827.3,8971.5,8724.75,8750.0,32331892,2003.92,-0.8834285714285631
2009-10-08,8790.95,8881.95,8720.25,8834.6,24828061,1799.75,0.49408009417517074
2009-10-09,8827.85,8861.2,8658.15,8696.8,32519869,1893.04,-1.5068760923558218
2009-10-12,8720.7,8981.3,8698.55,8963.8,24775159,1835.74,2.712019456034255
2009-10-14,8984.1,9166.75,8984.1,9150.0,21820817,1706.42,1.8131147540983568
2009-10-15,9157.1,9313.9,9155.25,9296.75,26950775,2078.59,1.5021378438701658
